bank_id,bank_name,region,bank_size,lending_style,total_assets,total_equity,total_loans,current_deposits,liquidity_ratio,capital_adequacy_ratio,npl_ratio,loan_to_deposit_ratio,return_on_equity,return_on_assets,net_interest_margin,cost_to_income_ratio,actual_status_label,predicted_status_label,risk_probability,risk_category,prediction_correct
BANK_127,"Mcdaniel, Bentley and Mclaughlin Rural Bank",Ashanti,Medium,Moderate,273.01,26.28,216.11,227.93,23.3,9.63,6.33,94.81,37.44,3.6,5.15,89.8,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_128,Diaz Inc Rural Bank,Eastern,Small,Moderate,8.5,1.7,2.71,6.2,20.63,19.96,9.62,43.73,10.79,2.15,7.84,84.17,Healthy,Healthy,0.0,Minimal Risk,1
BANK_129,"Mccall, Hanson and Alvarado Rural Bank",Eastern,Large,Moderate,323.71,49.84,188.56,244.4,29.94,15.4,12.07,77.15,24.38,3.75,6.31,43.52,Healthy,Healthy,0.0,Minimal Risk,1
BANK_130,Cortez LLC Rural Bank,Bono,Medium,Conservative,192.33,52.55,70.39,135.36,48.38,27.32,4.2,52.01,20.32,5.55,11.86,86.42,Healthy,Healthy,0.0,Minimal Risk,1
BANK_131,"Parker, Ortiz and Powell Rural Bank",Greater Accra,Medium,Conservative,159.47,35.18,94.35,119.27,37.88,22.06,0.41,79.11,24.42,5.39,7.97,40.58,Healthy,Healthy,0.0,Minimal Risk,1
BANK_132,Spencer-Lee Rural Bank,Western,Medium,Moderate,197.12,34.87,80.15,152.97,23.51,17.69,6.19,52.39,32.47,5.74,11.8,94.38,Healthy,Healthy,0.0,Minimal Risk,1
BANK_133,"Bentley, Byrd and Orr Rural Bank",Northern,Small,Aggressive,16.51,4.38,6.34,11.59,15.95,26.51,23.6,54.68,5.87,1.56,4.77,49.56,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_134,"Carroll, Sullivan and Bass Rural Bank",Upper East,Large,Moderate,480.65,52.3,239.23,373.74,26.12,10.88,17.96,64.01,35.61,3.87,7.78,66.66,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_135,Mitchell-Jordan Rural Bank,Greater Accra,Small,Moderate,39.46,6.8,17.02,30.36,19.44,17.24,4.47,56.05,34.23,5.9,9.42,83.81,Healthy,Healthy,0.0,Minimal Risk,1
BANK_136,"Lawson, Morris and Ramos Rural Bank",Ashanti,Small,Conservative,8.96,1.49,5.5,6.74,33.82,16.67,7.98,81.55,16.36,2.73,9.99,85.04,Healthy,Healthy,0.0,Minimal Risk,1
BANK_137,"Lewis, Kennedy and Santana Rural Bank",Ashanti,Small,Moderate,9.75,1.83,5.85,8.22,19.11,18.79,5.26,71.21,7.23,1.36,9.41,75.54,Healthy,Healthy,0.0,Minimal Risk,1
BANK_138,"Jackson, Miller and Robertson Rural Bank",Greater Accra,Medium,Aggressive,99.32,28.8,47.44,83.04,12.7,28.99,15.55,57.13,8.12,2.35,4.83,78.22,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_139,"Harvey, Davis and Crane Rural Bank",Northern,Large,Moderate,270.65,39.35,130.19,209.83,25.38,14.54,5.88,62.04,8.2,1.19,4.58,53.06,Healthy,Healthy,0.0,Minimal Risk,1
BANK_140,Chambers and Sons Rural Bank,Upper East,Small,Moderate,34.66,9.59,13.56,28.2,19.65,27.65,5.84,48.1,15.84,4.38,6.96,81.15,Healthy,Healthy,0.0,Minimal Risk,1
BANK_141,Hernandez Inc Rural Bank,Ashanti,Small,Aggressive,38.76,9.71,17.33,29.35,25.3,25.05,23.53,59.04,19.61,4.91,10.47,38.99,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_142,Riggs PLC Rural Bank,Eastern,Small,Moderate,34.66,8.96,13.36,24.59,35.46,25.85,8.22,54.35,22.91,5.92,11.63,55.15,Healthy,Healthy,0.0,Minimal Risk,1
BANK_143,Gibson Ltd Rural Bank,Eastern,Medium,Conservative,122.98,20.43,83.46,99.47,31.12,16.62,0.43,83.9,27.97,4.65,8.81,80.06,Healthy,Healthy,0.0,Minimal Risk,1
BANK_144,"Lee, Horton and Snyder Rural Bank",Ashanti,Medium,Conservative,162.57,26.96,58.9,135.36,37.68,16.58,7.31,43.52,34.78,5.77,11.43,32.79,Healthy,Healthy,0.0,Minimal Risk,1
BANK_145,Hernandez Ltd Rural Bank,Eastern,Medium,Moderate,127.5,32.44,67.04,91.62,28.89,25.45,16.39,73.17,22.53,5.73,10.49,30.41,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_146,Stafford Inc Rural Bank,Northern,Medium,Aggressive,106.29,15.65,55.8,81.59,12.09,14.72,29.26,68.4,25.65,3.78,5.47,73.43,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_147,Robinson-Brock Rural Bank,Ashanti,Small,Conservative,26.91,7.4,17.78,22.28,28.98,27.48,2.32,79.79,6.29,1.73,7.1,63.59,Healthy,Healthy,0.0,Minimal Risk,1
BANK_148,"Holmes, Williams and Wright Rural Bank",Central,Large,Conservative,912.99,85.08,475.19,692.62,20.11,9.32,4.12,68.61,57.83,5.39,6.06,54.15,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_149,Bryant Group Rural Bank,Greater Accra,Medium,Conservative,40.84,4.92,28.27,31.82,22.51,12.05,4.28,88.82,29.19,3.52,5.56,67.99,Healthy,Healthy,0.05,Minimal Risk,1
BANK_150,"Schmidt, Hansen and Stewart Rural Bank",Eastern,Medium,Moderate,94.2,12.99,47.79,79.49,28.12,13.79,14.69,60.12,17.65,2.43,8.33,49.48,Healthy,Healthy,0.01,Minimal Risk,1
BANK_151,Salazar-Ball Rural Bank,Eastern,Large,Moderate,504.51,110.43,332.25,426.45,20.67,21.89,13.05,77.91,7.2,1.58,8.17,,Healthy,Healthy,0.0,Minimal Risk,1
BANK_152,"Simmons, Meadows and Griffin Rural Bank",Western,Medium,Moderate,124.4,18.77,76.64,102.09,15.73,15.09,14.58,75.07,31.82,4.8,3.42,30.78,Healthy,Healthy,0.07,Minimal Risk,1
BANK_153,Manning Group Rural Bank,Northern,Medium,Conservative,155.3,39.28,89.07,114.8,47.83,25.29,8.02,77.58,11.95,3.02,2.27,81.51,Healthy,Healthy,0.0,Minimal Risk,1
BANK_154,Green-Wright Rural Bank,Bono,Medium,Moderate,149.74,23.87,50.95,115.01,31.4,15.94,9.23,44.3,22.68,3.62,10.74,57.42,Healthy,Healthy,0.0,Minimal Risk,1
BANK_155,"Ramirez, Strickland and Washington Rural Bank",Western,Small,Aggressive,30.18,4.89,18.68,24.8,6.7,16.21,20.86,75.35,24.57,3.98,2.18,65.78,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_156,Hill Inc Rural Bank,Western,Medium,Aggressive,204.59,40.8,131.77,157.23,15.54,19.94,12.96,83.81,26.93,5.37,10.55,55.95,Healthy,Healthy,0.01,Minimal Risk,1
BANK_157,"Mitchell, Nelson and Flores Rural Bank",Central,Medium,Moderate,155.25,18.58,89.84,112.1,23.19,11.97,11.14,80.14,46.54,5.57,2.56,51.64,High-Risk,High-Risk,0.94,Critical Risk,1
BANK_158,"Miller, Hernandez and Reyes Rural Bank",Western,Large,Conservative,924.37,98.26,443.43,649.66,34.2,10.63,7.61,68.26,28.5,3.03,2.13,38.82,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_159,Mccarthy Inc Rural Bank,Central,Small,Moderate,60.23,8.61,43.77,48.74,17.68,14.3,8.57,89.8,31.09,4.45,2.66,51.74,Healthy,Healthy,0.01,Minimal Risk,1
BANK_160,Russell-Daniels Rural Bank,Ashanti,Medium,Moderate,106.89,16.26,62.24,77.93,23.53,15.21,2.98,79.87,24.2,3.68,6.69,94.79,Healthy,Healthy,0.0,Minimal Risk,1
BANK_161,Brown-Wall Rural Bank,Greater Accra,Small,Conservative,7.11,0.64,2.56,5.17,26.8,9.05,8.34,49.6,12.23,1.11,8.55,66.37,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_162,Stein-Silva Rural Bank,Central,Small,Moderate,42.72,8.04,30.74,32.39,19.95,18.81,7.54,94.92,7.38,1.39,9.43,55.25,Healthy,Healthy,0.0,Minimal Risk,1
BANK_163,"Smith, Gilmore and Johnston Rural Bank",Bono,Medium,Moderate,140.83,35.73,64.09,116.41,28.2,25.37,6.47,55.05,15.88,4.03,7.17,57.39,Healthy,Healthy,0.0,Minimal Risk,1
BANK_164,Smith-Bell Rural Bank,Greater Accra,Small,Conservative,17.32,3.94,9.85,13.02,39.19,22.78,4.23,75.65,7.35,1.67,7.54,87.09,Healthy,Healthy,0.0,Minimal Risk,1
BANK_165,Castaneda-Ashley Rural Bank,Greater Accra,Small,Moderate,21.17,4.29,14.38,17.28,29.69,20.27,15.59,83.22,25.39,5.15,7.89,64.22,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_166,Medina-Navarro Rural Bank,Eastern,Small,Moderate,21.21,5.69,8.32,14.86,21.77,26.84,4.94,56.0,21.89,5.88,6.11,,Healthy,Healthy,0.0,Minimal Risk,1
BANK_167,"Hurst, Freeman and Nelson Rural Bank",Western,Small,Moderate,15.85,2.49,6.88,12.06,21.32,15.72,10.03,57.08,20.63,3.24,5.11,36.25,Healthy,Healthy,0.0,Minimal Risk,1
BANK_168,Johnson-Rogers Rural Bank,Upper West,Large,Conservative,798.31,86.85,478.68,674.11,30.54,10.88,1.98,71.01,19.25,2.09,8.27,74.79,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_169,"Yates, Ramsey and Pittman Rural Bank",Northern,Medium,Conservative,129.14,17.12,61.73,108.53,36.46,13.26,6.31,56.88,28.31,3.75,11.3,64.37,Healthy,Healthy,0.0,Minimal Risk,1
BANK_170,Hooper PLC Rural Bank,Upper West,Medium,Conservative,145.57,17.59,93.42,104.18,34.45,12.08,2.01,89.67,45.77,5.53,11.11,67.86,Healthy,Healthy,0.01,Minimal Risk,1
BANK_171,Meadows PLC Rural Bank,Northern,Medium,Conservative,172.3,34.96,98.97,144.42,26.01,20.29,4.88,68.53,20.2,4.1,5.21,63.02,Healthy,Healthy,0.0,Minimal Risk,1
BANK_172,"Alvarado, Miller and Patterson Rural Bank",Central,Small,Aggressive,42.68,9.03,15.43,32.65,16.75,21.15,12.64,47.26,9.74,2.06,7.58,66.9,Healthy,Healthy,0.01,Minimal Risk,1
BANK_173,White-Green Rural Bank,Greater Accra,Medium,Moderate,146.97,36.13,92.54,123.02,20.06,24.58,12.91,75.23,21.24,5.22,5.58,62.12,Healthy,Healthy,0.0,Minimal Risk,1
BANK_174,Lewis-Murphy Rural Bank,Greater Accra,Small,Moderate,69.73,13.64,35.46,49.7,24.74,19.57,7.52,71.35,6.79,1.33,2.09,,Healthy,Healthy,0.0,Minimal Risk,1
BANK_175,Ramirez-Bean Rural Bank,Volta,Medium,Conservative,165.59,43.26,82.35,127.72,37.16,26.13,0.6,64.47,6.12,1.6,5.34,48.54,Healthy,Healthy,0.0,Minimal Risk,1
BANK_176,King-Miller Rural Bank,Ashanti,Small,Moderate,38.85,5.04,13.82,27.43,22.56,12.97,8.38,50.37,15.88,2.06,2.63,58.87,Healthy,Healthy,0.0,Minimal Risk,1
BANK_177,Curry Inc Rural Bank,Western,Medium,Conservative,61.24,10.18,28.93,44.2,38.4,16.63,6.16,65.46,6.96,1.16,5.68,87.38,Healthy,Healthy,0.0,Minimal Risk,1
BANK_178,Walker-Jones Rural Bank,Eastern,Medium,Moderate,73.96,11.07,30.4,62.23,27.2,14.96,17.21,48.85,31.59,4.73,6.92,76.35,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_179,"Williams, Johnson and Wright Rural Bank",Ashanti,Small,Moderate,19.49,1.77,7.57,15.79,26.03,9.1,11.76,47.94,21.86,1.99,2.03,58.04,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_180,Howell and Sons Rural Bank,Western,Small,Moderate,29.42,5.18,13.88,23.55,36.87,17.62,7.57,58.96,20.08,3.54,4.2,72.15,Healthy,Healthy,0.0,Minimal Risk,1
BANK_181,Wells Inc Rural Bank,Greater Accra,Small,Conservative,44.75,11.41,32.72,35.73,35.98,25.5,2.85,91.58,5.99,1.53,3.06,92.11,Healthy,Healthy,0.0,Minimal Risk,1
BANK_182,"Gould, Marshall and Scott Rural Bank",Upper East,Medium,Conservative,70.76,10.38,34.7,54.01,44.57,14.66,7.88,64.24,13.88,2.03,4.12,36.16,Healthy,Healthy,0.0,Minimal Risk,1
BANK_183,Jackson-Lawson Rural Bank,Greater Accra,Large,Moderate,747.38,112.07,299.15,550.45,13.72,15.0,8.3,54.35,16.38,2.46,10.01,75.49,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_184,"Higgins, Strickland and Martin Rural Bank",Bono,Medium,Aggressive,162.2,16.86,100.55,114.82,6.43,10.39,16.02,87.57,15.99,1.66,7.81,87.34,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_185,Rodriguez-Johnson Rural Bank,Upper East,Large,Aggressive,432.88,86.47,298.62,348.04,20.63,19.97,24.56,85.8,23.37,4.67,9.73,79.57,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_186,Johnston-Odonnell Rural Bank,Northern,Medium,Aggressive,248.58,37.49,184.62,210.0,10.02,15.08,15.07,87.92,30.79,4.64,5.34,40.18,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_187,Sanders-Espinoza Rural Bank,Eastern,Medium,Conservative,79.55,15.52,37.52,66.31,40.12,19.51,1.75,56.59,6.23,1.22,6.27,65.68,Healthy,Healthy,0.0,Minimal Risk,1
BANK_188,Vargas Ltd Rural Bank,Bono,Small,Moderate,13.37,3.19,7.31,10.03,31.54,23.89,11.55,72.86,20.89,4.99,4.27,38.15,Healthy,Healthy,0.0,Minimal Risk,1
BANK_189,Garcia LLC Rural Bank,Ashanti,Medium,Conservative,67.5,16.28,30.52,50.72,41.32,24.12,1.68,60.18,9.75,2.35,7.22,93.13,Healthy,Healthy,0.0,Minimal Risk,1
BANK_190,"Burke, Martinez and Riggs Rural Bank",Eastern,Small,Conservative,62.11,9.21,37.08,46.92,32.38,14.83,7.79,79.03,23.03,3.41,10.94,,Healthy,Healthy,0.0,Minimal Risk,1
BANK_191,Reed Group Rural Bank,Eastern,Small,Moderate,15.4,2.4,9.15,10.87,22.37,15.55,6.71,84.18,7.43,1.16,2.76,81.15,Healthy,Healthy,0.0,Minimal Risk,1
BANK_192,"Wood, Hunter and Peterson Rural Bank",Greater Accra,Small,Aggressive,20.11,2.48,11.06,15.82,24.64,12.32,14.49,69.9,44.91,5.53,2.86,71.12,Healthy,Healthy,0.15,Minimal Risk,1
BANK_193,Short-Garcia Rural Bank,Greater Accra,Medium,Conservative,81.25,11.21,52.74,59.84,41.61,13.8,5.95,88.13,41.33,5.7,6.47,88.27,Healthy,Healthy,0.0,Minimal Risk,1
BANK_194,Reid-Poole Rural Bank,Eastern,Medium,Moderate,116.87,29.15,38.21,94.26,27.28,24.94,5.44,40.54,19.97,4.98,11.0,47.88,Healthy,Healthy,0.0,Minimal Risk,1
BANK_195,"Hernandez, Thompson and Boyd Rural Bank",Greater Accra,Medium,Aggressive,105.75,31.62,45.19,77.44,23.28,29.9,28.45,58.36,7.67,2.29,3.33,87.86,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_196,"Nelson, Morton and Medina Rural Bank",Upper West,Medium,Aggressive,100.0,27.19,54.89,75.66,5.16,27.19,15.57,72.55,8.4,2.28,8.46,35.95,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_197,Marshall-Petersen Rural Bank,Greater Accra,Small,Moderate,20.63,3.75,8.5,17.15,33.2,18.19,15.22,49.58,8.27,1.51,8.93,58.32,High-Risk,High-Risk,0.99,Critical Risk,1
BANK_198,"Adams, Christian and Rivas Rural Bank",Volta,Small,Aggressive,50.49,9.8,18.27,37.65,5.5,19.42,17.43,48.52,29.94,5.81,7.16,53.52,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_199,Ramirez Group Rural Bank,Greater Accra,Small,Conservative,43.31,10.9,21.86,35.88,41.55,25.16,0.93,60.91,5.41,1.36,11.31,31.68,Healthy,Healthy,0.0,Minimal Risk,1
BANK_200,Christensen PLC Rural Bank,Central,Small,Aggressive,85.33,24.62,45.35,68.13,9.43,28.85,16.53,66.57,8.86,2.56,10.31,54.37,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_201,"Barnett, Rogers and Snyder Rural Bank",Western,Large,Aggressive,392.69,45.55,231.9,282.27,11.44,11.6,9.96,82.16,25.15,2.92,8.15,49.15,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_202,White-Lewis Rural Bank,Upper East,Medium,Moderate,56.1,11.06,19.38,43.51,25.59,19.72,11.3,44.53,17.39,3.43,7.36,93.81,Healthy,Healthy,0.0,Minimal Risk,1
BANK_203,Peterson-Beard Rural Bank,Eastern,Medium,Conservative,167.39,28.5,112.31,142.19,29.14,17.03,2.02,78.99,32.99,5.62,8.9,70.57,Healthy,Healthy,0.0,Minimal Risk,1
BANK_204,"Beard, Peters and Black Rural Bank",Eastern,Small,Conservative,39.15,3.72,13.45,31.25,27.02,9.5,6.04,43.03,44.06,4.19,3.18,60.86,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_205,Miller Ltd Rural Bank,Greater Accra,Medium,Aggressive,139.86,13.21,73.78,114.4,25.36,9.45,15.55,64.49,14.46,1.37,9.38,69.34,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_206,Freeman-Chang Rural Bank,Central,Medium,Conservative,271.81,49.8,204.41,225.26,39.25,18.32,6.59,90.75,18.93,3.47,4.4,44.04,Healthy,Healthy,0.0,Minimal Risk,1
BANK_207,"Alvarez, Joseph and West Rural Bank",Eastern,Medium,Aggressive,45.21,12.47,18.49,36.98,23.52,27.58,24.45,50.0,19.62,5.41,3.78,57.58,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_208,Davis and Sons Rural Bank,Northern,Large,Moderate,477.38,102.19,203.99,358.57,17.55,21.41,9.42,56.89,18.98,4.06,6.99,91.99,Healthy,Healthy,0.0,Minimal Risk,1
BANK_209,Holt-Torres Rural Bank,Ashanti,Small,Moderate,9.9,1.24,3.97,7.17,22.32,12.5,6.14,55.38,34.93,4.37,4.15,51.33,Healthy,Healthy,0.0,Minimal Risk,1
BANK_210,"Wood, Tran and Cooper Rural Bank",Ashanti,Large,Aggressive,458.8,47.94,158.64,387.75,25.96,10.45,22.21,40.91,42.76,4.47,10.54,63.18,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_211,"Pierce, Bell and Chavez Rural Bank",Greater Accra,Medium,Moderate,194.87,51.34,97.32,154.37,27.59,26.34,13.69,63.04,11.54,3.04,5.76,36.98,Healthy,Healthy,0.0,Minimal Risk,1
BANK_212,King-Martinez Rural Bank,Ashanti,Small,Moderate,23.36,1.85,15.2,18.17,29.03,7.93,7.46,83.67,41.24,3.27,8.1,59.42,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_213,Stewart Ltd Rural Bank,Eastern,Small,Moderate,11.72,3.15,8.45,9.41,31.4,26.88,6.78,89.81,17.88,4.81,3.17,61.96,Healthy,Healthy,0.0,Minimal Risk,1
BANK_214,"Tapia, Vaughn and Lee Rural Bank",Volta,Medium,Aggressive,240.14,69.59,91.94,187.1,16.92,28.98,8.4,49.14,8.54,2.48,7.03,47.59,Healthy,Healthy,0.0,Minimal Risk,1
BANK_215,"Washington, Hardy and Bray Rural Bank",Western,Medium,Moderate,179.57,32.77,61.27,141.57,30.41,18.25,5.29,43.28,17.54,3.2,9.46,45.29,Healthy,Healthy,0.0,Minimal Risk,1
BANK_216,"Carlson, Hooper and Wall Rural Bank",Upper West,Medium,Conservative,125.49,19.97,35.51,88.45,22.59,15.91,4.54,40.15,7.55,1.2,9.5,65.88,Healthy,Healthy,0.0,Minimal Risk,1
BANK_217,Perez-White Rural Bank,Greater Accra,Medium,Aggressive,70.0,6.34,30.47,52.55,20.43,9.06,19.46,57.97,47.88,4.34,5.42,85.0,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_218,Erickson and Sons Rural Bank,Upper West,Small,Moderate,33.03,8.99,20.43,25.2,26.95,27.21,9.59,81.06,19.38,5.28,2.22,41.01,Healthy,Healthy,0.0,Minimal Risk,1
BANK_219,Williams-Brown Rural Bank,Greater Accra,Medium,Moderate,172.81,51.31,103.93,141.99,22.99,29.69,15.93,73.2,16.12,4.79,10.23,76.42,High-Risk,High-Risk,1.0,Critical Risk,1
BANK_220,Terry-Martinez Rural Bank,Northern,Medium,Aggressive,153.73,19.05,67.87,127.65,20.63,12.39,11.82,53.16,32.46,4.02,7.36,51.86,Healthy,Healthy,0.01,Minimal Risk,1
BANK_221,Garcia-Smith Rural Bank,Greater Accra,Large,Conservative,512.51,120.58,173.59,369.66,36.44,23.53,4.97,46.96,22.22,5.23,7.09,34.45,Healthy,Healthy,0.0,Minimal Risk,1
BANK_222,Harrison-Alexander Rural Bank,Volta,Small,Moderate,19.51,2.43,12.48,16.15,18.31,12.45,8.4,77.28,31.96,3.98,11.53,77.49,Healthy,Healthy,0.02,Minimal Risk,1
BANK_223,Sheppard LLC Rural Bank,Eastern,Medium,Moderate,78.42,17.6,35.89,59.22,33.74,22.45,8.99,60.61,13.89,3.12,4.79,64.18,Healthy,Healthy,0.0,Minimal Risk,1
BANK_224,Wilson-Jones Rural Bank,Ashanti,Medium,Moderate,187.29,49.52,61.44,139.61,17.03,26.44,10.4,44.01,20.0,5.29,3.14,32.69,Healthy,Healthy,0.0,Minimal Risk,1
